ссылка;адрес;район;город;площадь;цена;дата публикации
https://n1.ru/view/28603662/;2-к, Северной Двины набережная, 32 корп. 1;Ломоносовский округ, Центр;Архангельск;56 м2;4 550 000 ;06.12.2018
https://n1.ru/view/28586117/;2-к, Советских Космонавтов проспект, 52;Ломоносовский округ, Центр;Архангельск;80 м2;8 600 000 ;05.12.2018
https://n1.ru/view/28586115/;2-к, Дзержинского проспект, 3 корп. 4;Ломоносовский округ, Привокзальный;Архангельск;46 м2;2 800 000 ;05.12.2018
https://n1.ru/view/28531808/;2-к, Северной Двины набережная, 69;Ломоносовский округ, Центр;Архангельск;52 м2;3 923 500 ;30.11.2018
https://n1.ru/view/28436747/;2-к, Северной Двины набережная, 32;Ломоносовский округ, Центр;Архангельск;79 м2;6 200 000 ;23.11.2018
https://n1.ru/view/28413006/;2-к, В.И.Ленина площадь, 3;Ломоносовский округ, Центр;Архангельск;51 м2;4 280 000 ;21.11.2018
https://n1.ru/view/28176587/;2-к, Дзержинского проспект, 1 корп. 4;Ломоносовский округ, Привокзальный;Архангельск;46 м2;3 300 000 ;31.10.2018
https://n1.ru/view/27812753/;2-к, Тимме, 8 корп. 2;Ломоносовский округ, Привокзальный;Архангельск;39 м2;2 950 000 ;02.10.2018
https://n1.ru/view/27317072/;2-к, Северной Двины набережная, 52;Ломоносовский округ;Архангельск, ;38 м2;4 070 000 ;26.08.2018
https://n1.ru/view/26811206/;2-к, Северной Двины набережная, 12 корп. 1;Ломоносовский округ, Центр;Архангельск;45 м2;3 300 000 ;16.07.2018
https://n1.ru/view/26639300/;2-к, Северной Двины набережная, 12 корп. 1;Ломоносовский округ, Центр;Архангельск;45 м2;3 300 000 ;04.07.2018
https://n1.ru/view/25965209/;2-к, Северной Двины набережная, 32 корп. 1;Ломоносовский округ, Центр;Архангельск;46 м2;3 866 500 ;15.05.2018
https://n1.ru/view/25965208/;2-к, Северной Двины набережная, 32 корп. 1;Ломоносовский округ, Центр;Архангельск;41 м2;3 372 500 ;15.05.2018
https://n1.ru/view/25965210/;2-к, Северной Двины набережная, 32 корп. 1;Ломоносовский округ, Центр;Архангельск;54 м2;4 265 500 ;15.05.2018
https://n1.ru/view/25965211/;2-к, Северной Двины набережная, 32 корп. 1;Ломоносовский округ, Центр;Архангельск;57 м2;3 933 000 ;15.05.2018
https://n1.ru/view/25965201/;2-к, Чумбарова-Лучинского проспект, 15;Ломоносовский округ, Центр;Архангельск;35 м2;3 070 000 ;15.05.2018
https://n1.ru/view/25889999/;2-к, Серафимовича, 39;Ломоносовский округ;Архангельск, ;60 м2;5 500 000 ;09.05.2018
https://n1.ru/view/25846570/;2-к, Смольный Буян, 24 корп. 1;Ломоносовский округ;Архангельск;61 м2;3 590 000 ;05.05.2018
https://n1.ru/view/25773867/;2-к, Чумбарова-Лучинского проспект, 15;Ломоносовский округ, Центр;Архангельск;35 м2;3 070 000 ;28.04.2018
https://n1.ru/view/25518167/;2-к, Северной Двины набережная, 32 корп. 1;Ломоносовский округ, Центр;Архангельск;55 м2;4 000 000 ;13.04.2018
https://n1.ru/view/25278207/;2-к, Ленинградский проспект, 1;Ломоносовский округ;Архангельск;44 м2;2 200 000 ;03.04.2018
https://n1.ru/view/23412879/;2-к, Северной Двины набережная, 32 корп. 1;Ломоносовский округ, Центр;Архангельск;58 м2;4 370 000 ;22.12.2017
https://n1.ru/view/18249768/;2-к, Троицкий проспект, 10;Ломоносовский округ, Центр;Архангельск;60 м2;6 900 000 ;24.05.2017
https://n1.ru/view/28143914/;2-к, Ломоносова проспект, 53;Ломоносовский округ, Центр;Архангельск;51 м2;4 900 000 ;29.10.2018
https://n1.ru/view/27487520/;2-к, Советских Космонавтов проспект, 52;Ломоносовский округ, Центр;Архангельск;75 м2;7 200 000 ;05.09.2018
https://n1.ru/view/27410142/;2-к, Советских Космонавтов проспект, 52;Ломоносовский округ, Центр;Архангельск;74 м2;7 200 000 ;30.08.2018
https://n1.ru/view/23647624/;2-к, Карла Либкнехта, 22;Ломоносовский округ, Центр;Архангельск;58 м2;5 540 000 ;10.01.2018
https://n1.ru/view/27572045/;2-к, Воскресенская, 6;Ломоносовский округ, Центр;Архангельск;48 м2;3 680 000 ;12.09.2018
https://n1.ru/view/26278199/;2-к, Романа Куликова, 6;Ломоносовский округ, Центр;Архангельск;41 м2;3 850 000 ;07.06.2018
https://n1.ru/view/24680687/;2-к, Северной Двины набережная, 32;Ломоносовский округ, Центр;Архангельск;66 м2;7 500 000 ;26.02.2018
https://n1.ru/view/17337225/;2-к, Поморская, 34/3;Ломоносовский округ, Центр;Архангельск;68 м2;4 460 000 ;30.03.2017
https://n1.ru/view/28602305/;2-к, Северодвинская, 82 1к;Ломоносовский округ, Центр;Архангельск;44 м2;3 600 000 ;06.12.2018
https://n1.ru/view/28559838/;2-к, Советских Космонавтов проспект, 52 3к;Ломоносовский округ, Центр;Архангельск;62 м2;6 500 000 ;03.12.2018
https://n1.ru/view/28552567/;2-к, Северной Двины набережная, 4 2к;Ломоносовский округ, Центр;Архангельск;47 м2;2 800 000 ;02.12.2018
https://n1.ru/view/28427373/;2-к, Воскресенская, 15;Ломоносовский округ, Центр;Архангельск;52 м2;6 200 000 ;22.11.2018
https://n1.ru/view/28316090/;2-к, Ленинградский проспект, 1;Ломоносовский округ;Архангельск;41 м2;2 790 000 ;13.11.2018
https://n1.ru/view/27872008/;2-к, Северодвинская, 31;Ломоносовский округ, Центр;Архангельск;45 м2;4 400 000 ;08.10.2018
https://n1.ru/view/26457435/;2-к, Романа Куликова, 6;Ломоносовский округ, Центр;Архангельск;41 м2;3 850 000 ;21.06.2018
https://n1.ru/view/26104632/;2-к, Советских Космонавтов проспект, 52;Ломоносовский округ, Центр;Архангельск;74 м2;6 700 000 ;26.05.2018
https://n1.ru/view/24933261/;2-к, Северной Двины набережная, 32;Ломоносовский округ, Центр;Архангельск;61 м2;6 780 000 ;13.03.2018
https://n1.ru/view/24741863/;2-к, Северной Двины набережная, 32;Ломоносовский округ, Центр;Архангельск;66 м2;7 500 000 ;28.02.2018
https://n1.ru/view/26038799/;2-к, Тимме, 2;Ломоносовский округ, Привокзальный;Архангельск;50 м2;3 600 000 ;21.05.2018
https://n1.ru/view/28592525/;2-к, Дзержинского проспект, 3 4к;Ломоносовский округ, Привокзальный;Архангельск;46 м2;2 900 000 ;05.12.2018
https://n1.ru/view/28672915/;2-к, Розы Люксембург, 23;Ломоносовский округ, Центр;Архангельск;51 м2;3 570 000 ;11.12.2018
https://n1.ru/view/28177122/;2-к, Тимме, 2 4к;Ломоносовский округ, Привокзальный;Архангельск;50 м2;3 270 000 ;31.10.2018
https://n1.ru/view/28603911/;2-к, Новгородский проспект, 35;Ломоносовский округ, Центр;Архангельск;50 м2;3 500 000 ;06.12.2018
https://n1.ru/view/18366829/;2-к, Советских Космонавтов проспект, 52;Ломоносовский округ, Центр;Архангельск;74 м2;6 700 000 ;29.05.2017
https://n1.ru/view/27816881/;2-к, 23 Гвардейской дивизии, 10;Ломоносовский округ, Привокзальный;Архангельск;54 м2;3 500 000 ;02.10.2018
https://n1.ru/view/27215644/;2-к, Гагарина, 61;Ломоносовский округ;Архангельск;48 м2;4 100 000 ;16.08.2018
https://n1.ru/view/28304720/;2-к, Ломоносова проспект, 92;Ломоносовский округ, Центр;Архангельск;50 м2;3 300 000 ;12.11.2018
https://n1.ru/view/27944858/;2-к, Смольный Буян, 24 1к;Ломоносовский округ, Центр;Архангельск;46 м2;3 100 000 ;14.10.2018
https://n1.ru/view/28296592/;2-к, Урицкого, 49;Ломоносовский округ, Центр;Архангельск;49 м2;3 800 000 ;12.11.2018
https://n1.ru/view/28352155/;2-к, Троицкий проспект, 10;Ломоносовский округ, Центр;Архангельск;64 м2;6 600 000 ;15.11.2018
https://n1.ru/view/24531338/;2-к, Поморская, 34/3;Ломоносовский округ, Центр;Архангельск;73 м2;5 000 000 ;16.02.2018
https://n1.ru/view/19390767/;2-к, Романа Куликова, 21;Ломоносовский округ, Центр;Архангельск;77 м2;6 100 000 ;26.07.2017
https://n1.ru/view/22381758/;2-к, Романа Куликова, 21;Ломоносовский округ, Центр;Архангельск;77 м2;5 900 000 ;16.11.2017
https://n1.ru/view/28653119/;2-к, Обводный Канал проспект, 29;Ломоносовский округ, Центр;Архангельск;41 м2;3 650 000 ;11.12.2018
https://n1.ru/view/28625596/;2-к, Воскресенская, 116 2к;Ломоносовский округ, Привокзальный;Архангельск;42 м2;3 180 000 ;07.12.2018
https://n1.ru/view/26649519/;2-к, Смольный Буян, 14 корп.1;Ломоносовский округ;Архангельск;43 м2;2 350 000 ;05.07.2018
https://n1.ru/view/27632882/;2-к, Логинова, 20;Октябрьский округ, Центр;Архангельск;46 м2;4 380 000 ;17.09.2018
https://n1.ru/view/27961958/;2-к, Логинова, 53;Октябрьский округ, Центр;Архангельск;52 м2;4 090 000 ;15.10.2018
https://n1.ru/view/27257312/;2-к, Логинова, 80;Октябрьский округ, Центр;Архангельск;50 м2;3 580 000 ;20.08.2018
https://n1.ru/view/27889879/;2-к, Бадигина проезд, 24;Октябрьский округ;Архангельск;50 м2;3 420 000 ;09.10.2018
https://n1.ru/view/28667682/;2-к, Гайдара, 23;Октябрьский округ, Центр;Архангельск;47 м2;2 750 000 ;11.12.2018
https://n1.ru/view/28667631/;2-к, Воскресенская, 116 3к;Октябрьский округ, Привокзальный;Архангельск;66 м2;6 000 000 ;11.12.2018
https://n1.ru/view/28404358/;2-к, Воскресенская, 59;Октябрьский округ, Центр;Архангельск, ;47 м2;5 000 000 ;21.11.2018
https://n1.ru/view/28717991/;2-к, Дзержинского проспект, 17 корп. 2;Октябрьский округ, Привокзальный;Архангельск;47 м2;3 085 000 ;15.12.2018
https://n1.ru/view/28222161/;2-к, Самойло, 8;Октябрьский округ, Центр;Архангельск;40 м2;2 490 000 ;04.11.2018
https://n1.ru/view/27822976/;2-к, Ломоносова проспект, 152;Октябрьский округ, Центр;Архангельск, ;65 м2;5 250 000 ;03.10.2018
https://n1.ru/view/24099104/;2-к, Карла Маркса, 24;Октябрьский округ, Центр;Архангельск;66 м2;5 250 000 ;25.01.2018
https://n1.ru/view/28669661/;2-к, Гагарина, 9;Октябрьский округ;Архангельск;44 м2;2 450 000 ;11.12.2018
https://n1.ru/view/28564000/;2-к, Обводный Канал проспект, 69;Октябрьский округ, Центр;Архангельск;46 м2;3 100 000 ;03.12.2018
https://n1.ru/view/28437089/;2-к, Гайдара, 46;Октябрьский округ, Центр;Архангельск;50 м2;4 100 000 ;23.11.2018
https://n1.ru/view/28249431/;2-к, Троицкий проспект, 102;Октябрьский округ, Центр;Архангельск;45 м2;3 320 000 ;07.11.2018
https://n1.ru/view/27687090/;2-к, Логинова, 20;Октябрьский округ, Центр;Архангельск;46 м2;4 380 000 ;21.09.2018
https://n1.ru/view/27633623/;2-к, Обводный Канал проспект, 42;Октябрьский округ, Центр;Архангельск;45 м2;2 760 000 ;17.09.2018
https://n1.ru/view/27580972/;2-к, Обводный Канал проспект, 48;Октябрьский округ, Центр;Архангельск;43 м2;2 760 000 ;13.09.2018
https://n1.ru/view/27521488/;2-к, Попова, 32;Октябрьский округ, Центр;Архангельск;63 м2;5 430 000 ;07.09.2018
https://n1.ru/view/27510975/;2-к, Воскресенская, 14;Октябрьский округ, Центр;Архангельск;58 м2;5 300 000 ;06.09.2018
https://n1.ru/view/26642961/;2-к, Ломоносова проспект, 265 1к;Октябрьский округ, Центр;Архангельск;43 м2;2 870 000 ;04.07.2018
https://n1.ru/view/25834568/;2-к, Бадигина проезд, 24;Октябрьский округ;Архангельск;51 м2;3 000 000 ;04.05.2018
https://n1.ru/view/25071539/;2-к, Гайдара, 26;Октябрьский округ, Центр;Архангельск;42 м2;3 100 000 ;21.03.2018
https://n1.ru/view/24490221/;2-к, Вологодская, 30;Октябрьский округ, Центр;Архангельск, ;53 м2;4 700 000 ;14.02.2018
https://n1.ru/view/19706084/;2-к, Комсомольская, 45 1к;Октябрьский округ, Центр;Архангельск;41 м2;2 560 000 ;16.08.2017
https://n1.ru/view/19340703/;2-к, Бадигина проезд, 10/1;Октябрьский округ;Архангельск;56 м2;4 530 000 ;22.07.2017
https://n1.ru/view/27996849/;2-к, Поморская, 13;Октябрьский округ, Центр;Архангельск;50 м2;3 590 000 ;17.10.2018
https://n1.ru/view/28574943/;2-к, Троицкий проспект, 160;Октябрьский округ, Центр;Архангельск;52 м2;4 600 000 ;04.12.2018
https://n1.ru/view/28672847/;2-к, Гагарина, 14;Октябрьский округ, Центр;Архангельск;41 м2;2 680 000 ;11.12.2018
https://n1.ru/view/28577475/;2-к, Воскресенская, 59;Октябрьский округ, Центр;Архангельск, ;54 м2;4 490 000 ;04.12.2018
https://n1.ru/view/28494394/;2-к, Попова, 19;Октябрьский округ, Центр;Архангельск;52 м2;6 350 000 ;28.11.2018
https://n1.ru/view/28439736/;2-к, Троицкий проспект, 104;Октябрьский округ, Центр;Архангельск;45 м2;3 900 000 ;23.11.2018
https://n1.ru/view/28439738/;2-к, Тимме, 19 корп. 3;Октябрьский округ, Привокзальный;Архангельск;51 м2;3 800 000 ;23.11.2018
https://n1.ru/view/28401874/;2-к, Самойло, 10;Октябрьский округ, Центр;Архангельск;46 м2;3 750 000 ;20.11.2018
https://n1.ru/view/28389250/;2-к, Новгородский проспект, 185;Октябрьский округ, Центр;Архангельск;50 м2;4 100 000 ;19.11.2018
https://n1.ru/view/28179772/;2-к, Воскресенская, 59;Октябрьский округ, Центр;Архангельск, ;84 м2;5 350 000 ;31.10.2018
https://n1.ru/view/28097498/;2-к, Садовая, 43;Октябрьский округ, Центр;Архангельск;69 м2;4 690 000 ;24.10.2018
https://n1.ru/view/28057911/;2-к, Попова, 32;Октябрьский округ, Центр;Архангельск;62 м2;5 850 000 ;22.10.2018
https://n1.ru/view/27856918/;2-к, Садовая, 43;Октябрьский округ, Центр;Архангельск;60 м2;4 410 000 ;05.10.2018
https://n1.ru/view/27856919/;2-к, Садовая, 43;Октябрьский округ, Центр;Архангельск;54 м2;4 520 000 ;05.10.2018
https://n1.ru/view/27856911/;2-к, Садовая, 43;Октябрьский округ, Центр;Архангельск;64 м2;5 140 000 ;05.10.2018
https://n1.ru/view/27856915/;2-к, Садовая, 43;Октябрьский округ, Центр;Архангельск;77 м2;5 570 000 ;05.10.2018
https://n1.ru/view/27856912/;2-к, Садовая, 43;Октябрьский округ, Центр;Архангельск;69 м2;5 010 000 ;05.10.2018
https://n1.ru/view/27856908/;2-к, Садовая, 43;Октябрьский округ, Центр;Архангельск;55 м2;4 280 000 ;05.10.2018
https://n1.ru/view/27856905/;2-к, Садовая, 43;Октябрьский округ, Центр;Архангельск;69 м2;5 010 000 ;05.10.2018
https://n1.ru/view/27856909/;2-к, Садовая, 43;Октябрьский округ, Центр;Архангельск;68 м2;4 590 000 ;05.10.2018
https://n1.ru/view/27816007/;2-к, Троицкий проспект, 194;Октябрьский округ, Центр;Архангельск;44 м2;3 300 000 ;02.10.2018
https://n1.ru/view/27789919/;2-к, Гайдара, 27;Октябрьский округ, Центр;Архангельск;50 м2;3 950 000 ;29.09.2018
https://n1.ru/view/27284953/;2-к, Воскресенская, 61;Октябрьский округ, Центр;Архангельск;82 м2;5 500 000 ;22.08.2018
https://n1.ru/view/26260966/;2-к, Авиационная, 12;Октябрьский округ, Талажский авиагородок;Архангельск;44 м2;2 270 000 ;06.06.2018
https://n1.ru/view/19556920/;2-к, Авиационная, 1;Октябрьский округ, Талажский авиагородок;Архангельск;43 м2;1 790 000 ;08.08.2017
https://n1.ru/view/17177203/;2-к, Новгородский проспект, 153;Октябрьский округ, Центр;Архангельск;52 м2;4 290 000 ;18.03.2017
https://n1.ru/view/28317711/;2-к, Авиационная, 12;Октябрьский округ, Талажский авиагородок;Архангельск;44 м2;1 950 000 ;13.11.2018
